headline,abstract,pub date,original,person rank,keywords,lead paragraph,news desk,section name,type of material
"Polar Vortex, FaceTime, Jussie Smollett: Your Wednesday Briefing",Here’s what you need to know.,2019-01-30T10:40:57+0000,By Chris Stanford,1,[],(Want to get this briefing by email? Here’s the sign-up.),NYTNow,Briefing,briefing
Why Couldn’t My Treatment Center Save This Baby?,"While promising vaccines and experimental treatments for Ebola are rapidly being added to our arsenal, they’re not much use if people are too afraid to seek care.",2019-01-30T11:00:04+0000,By Karin Huster,1,"['Ebola Virus', 'Epidemics', 'Doctors Without Borders', 'Congo, Democratic Republic of (Congo-Kinshasa)']","BENI, Democratic Republic of Congo — A young mother stepped out of the ambulance into the triage area of our Ebola transit center here in the northeast of the country. She moved slowly, careful not to wake the sick baby, swathed in layers of linens, that she carried in her arms. They had been brought to the center for testing because health workers suspected the baby might have Ebola. ",OpEd,Opinion,Op-Ed
The ‘Rotten Equilibrium’ of Republican Politics,Charlatans rise. Government falls.,2019-01-30T11:00:04+0000,By Thomas B. Edsall,1,"['Presidential Election of 2016', 'United States Politics and Government', 'Midterm Elections (2018)', 'United States Economy', 'Voting and Voters', 'Elections, House of Representatives', 'Illegal Immigration', 'Labor and Jobs', 'Capitalism (Theory and Philosophy)', 'Democratic Party', 'House of Representatives', 'Niskanen Center', 'Republican Party', 'Trump, Donald J']",One clear lesson from the elections of 2016 and 2018 is that President Trump and his fellow Republican candidates win where white voters are losing ground.,OpEd,Opinion,Op-Ed
How Democrats Will Govern (Now That Government Is Open),We look at the ways that Democrats plan to leverage their new House majority to define their message for 2020.,2019-01-30T11:00:04+0000,,1,"['Democratic Party', 'House of Representatives', 'Pelosi, Nancy', 'Trump, Donald J', 'Law and Legislation', 'Drugs (Pharmaceuticals)', 'Infrastructure (Public Works)', 'Shutdowns (Institutional)', 'United States Politics and Government']",Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher,Podcasts,Podcasts,News
"If a Government Can’t Deliver Safe Vaccines for Children, Is It Fit to Rule?","Another scandal over shoddy drugs in China, another hit to the Communist Party’s legitimacy.",2019-01-30T11:00:04+0000,By Yanzhong Huang,1,"['Politics and Government', 'Vaccination and Immunization', 'Children and Childhood', 'Communism (Theory and Philosophy)', 'Drugs (Pharmaceuticals)', 'Communist Party of China', 'Deng Xiaoping', 'Mao Zedong', 'Xi Jinping', 'China']","Earlier this month, hundreds of aggrieved parents gathered outside the government office in Jinhu County, in the eastern province of Jiangsu, demanding an explanation for why 145 infants had been administered expired doses of the polio vaccine. It was China’s fifth vaccine scandal in less than seven years, and yet another blow to the country’s drug industry, its national immunization program, its regulatory authorities — and to the very legitimacy of the Chinese Communist Party (C.C.P.).",OpEd,Opinion,Op-Ed
Is the World’s Most Powerful Woman Finally a Feminist?,Why the German leader is — finally — talking about her gender.,2019-01-30T11:00:04+0000,By Emily Schultheis,1,"['Women and Girls', 'Merkel, Angela', 'Germany', ""Women's Rights"", 'Politics and Government']","BERLIN — The day after the British Parliament voted down a deal on Brexit, with political instability dominating international headlines, Chancellor Angela Merkel of Germany sat down for a 45-minute interview with a journalist from the German newspaper Die Zeit.",OpEd,Opinion,Op-Ed
Venezuela’s Best Path to Democracy? Pay Off the Military,"It often comes with a steep asking price, but the military has played a critical role in establishing democracy in many countries.",2019-01-30T11:00:05+0000,By Michael Albertus,2,"['Defense and Military Forces', ""Coups D'Etat and Attempted Coups D'Etat"", 'Constitutions', 'Legislatures and Parliaments', 'Oil (Petroleum) and Gasoline', 'PDVSA', 'Chavez, Hugo', 'Guaido, Juan', 'Maduro, Nicolas', 'Chile', 'Portugal', 'Venezuela', 'Pakistan', 'Myanmar']","It was surely no accident that on Jan. 23, the Venezuelan opposition leader Juan Guaidó declared himself the country’s legitimate president. That challenge to President Nicolás Maduro occurred on the anniversary of a military coup in 1958 that ended a decade of dictatorship and ushered in an era of Venezuelan democracy and economic progress.",OpEd,Opinion,Op-Ed
Athens in Pieces: The Art of Memory,"The ancient city is also a living one. And it still has plenty to tell us, if we care to listen.",2019-01-30T11:00:05+0000,By Simon Critchley,3,"['Philosophy', 'Athens (Greece)', 'Greek Civilization', 'Memory']","ATHENS — There is an ancient tradition relating to the art of memory, which legend says began with the poet Simonides of Ceos (556-468 B.C.E.). Simonides was giving a recitation in the dining hall of the house of Scopas, a Thessalian nobleman, when he was called outside because two strangers wanted to speak to him. ",OpEd,Opinion,Op-Ed
8 Wellness Products to Add to Your Bridal Survival Kit,Avoid a wedding day meltdown with relaxation gummies or give yourself some me time with the scents of a heart-opening candle.,2019-01-30T11:00:05+0000,By Charanna Alexander,4,"['Anxiety and Stress', 'Marriages']","Most wedding day survival kits are equipped with an arsenal of essential items to help brides avoid any mishaps or unexpected hiccups. Double-sided tape, bobby pins and a bevy of pills, ranging from aspirin to allergy medication, can certainly prove useful. But here are some additional products to help you get ahead of any potential stressor — whether a pesky facial breakout or an overbearing relative. ",Society,Fashion & Style,News
Bangkok Is Choking on Air Pollution. The Response? Water Cannons.,More than 400 schools across the Thai capital will be closed on Thursday and Friday because of the smog. Bangkok is now on the list of the world’s top most polluted cities.,2019-01-30T11:13:48+0000,By Hannah Beech,5,"['Air Pollution', 'Bangkok (Thailand)', 'Thailand', 'Greenpeace', 'National Council for Peace and Order (Thailand)', 'Automobiles', 'Urban Areas', 'Politics and Government']","BANGKOK — The monsoons are no longer lashing Bangkok, in that soggy season when my sons sometimes have to wade through waist-high floods to get to soccer practice.",Foreign,World,News
